TLIST(Q1),Quarter,Type of Offence,VALUE
20033,2003Q3,Litter offences (1221),21
20033,2003Q3,Public order and other social code offences (13),11875
20033,2003Q3,Disorderly conduct (131),10023
20033,2003Q3,Trespass offences (132),403
20033,2003Q3,Liquor licensing offences (133),960
20033,2003Q3,Prostitution offences (134),64
20033,2003Q3,"Regulated betting/money, collection/trading offences (135)",81
20033,2003Q3,Social code offences (n.e.c.) (136),344
20033,2003Q3,Road and traffic offences (14),11788
20033,2003Q3,"Driving licence-failure to have, produce, etc. (1411)",319
20033,2003Q3,"Insurance-failure to have, produce, display, etc. (1412)",3817
20033,2003Q3,Vehicle tax/registration offences (142),1035
20033,2003Q3,Roadworthiness/regulatory offences (143),214
20033,2003Q3,Obstruction under Road Traffic Acts (1432),36
20033,2003Q3,Other road offences (1433),6067
20033,2003Q3,Road transport - carriage of goods offences (1441),180
20033,2003Q3,Public service vehicle offences (1442),120
20033,2003Q3,Light rail offences (Luas) (1443),0
20033,2003Q3,"Offences against government, justice procedures and organisation of crime (15)",1719
20033,2003Q3,Offences against government and its agents (151),44
20033,2003Q3,Organisation of crime and conspiracy to commit crime (152),0
20033,2003Q3,Perverting the course of justice (153),80
20033,2003Q3,"Offences while in custody, breach of court orders (157)",1595
20033,2003Q3,Offences not elsewhere classified (16),365
20034,2003Q4,Homicide & related offences (01),21
20034,2003Q4,Murder (0111),7
20034,2003Q4,Manslaughter (0112),2
20034,2003Q4,Infanticide (0113),0
20034,2003Q4,Dangerous driving leading to death (012),12
20034,2003Q4,Sexual offences (02),276
20034,2003Q4,Rape of a male or female (0211),70
20034,2003Q4,Defilement of a boy or girl less than 17 years old (0212),22
20034,2003Q4,Sexual offence involving mentally impaired person (0213),5
20034,2003Q4,Aggravated sexual assault (0214),3
20034,2003Q4,Sexual assault (not aggravated) (0215),163
20034,2003Q4,Other sexual offences (022),13
20034,2003Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",3073
20034,2003Q4,Murder-attempt (0311),1
20034,2003Q4,Threat to kill or cause serious harm  (0313 ),4
20034,2003Q4,Harassment and related offences (033),246
20034,2003Q4,"Assault causing harm, poisoning (034)",835
20034,2003Q4,Other assault (035),1987
20034,2003Q4,Dangerous or negligent acts (04),5301
20034,2003Q4,Dangerous driving causing serious bodily harm (0411),3
20034,2003Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",3115
20034,2003Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),3096
20034,2003Q4,Driving/in charge of a vehicle under the influence of drugs (0413),19
20034,2003Q4,Dangerous/careless driving and motorway offences (0414),1168
20034,2003Q4,Speeding (0415),926
20034,2003Q4,Endangerment with potential for serious harm/death (0421),11
20034,2003Q4,"Abandoning a child, child neglect and cruelty (0422)",34
20034,2003Q4,Unseaworthy/dangerous use of boat or ship (0423),0
20034,2003Q4,False alarm/interference with aircraft or air transport facilities (0424),2
20034,2003Q4,Endangering traffic offences (0425),42
20034,2003Q4,Kidnapping and related offences (05),14
20034,2003Q4,False imprisonment (0511),8
20034,2003Q4,Abduction of person under 16 years of age (0512),6
20034,2003Q4,Human trafficking offences (0513),0
20034,2003Q4,"Robbery, extortion and hijacking offences (06)",673
20034,2003Q4,Robbery of an establishment or institution (0611),226
20034,2003Q4,Robbery of cash or goods in transit (0612),11
20034,2003Q4,Robbery from the person (0613),395
20034,2003Q4,Blackmail or extortion (0621),3
20034,2003Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",38
20034,2003Q4,Burglary and related offences (07),6662
20034,2003Q4,Aggravated burglary (0711),82
20034,2003Q4,Burglary (not aggravated) (0712),6535
20034,2003Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",45
20034,2003Q4,Theft and related offences (08),17222
20034,2003Q4,Theft/taking of vehicle and related offences (081),3142
20034,2003Q4,Theft from person (0821),1605
20034,2003Q4,Theft from shop (0822),4047
20034,2003Q4,"Other thefts, handling stolen property (084)",8428
20034,2003Q4,"Fraud, deception and related offences (09)",862
20034,2003Q4,Controlled drug offences (10),2318
20034,2003Q4,Importation of drugs (1011),12
20034,2003Q4,Cultivation or manufacture of drugs (1012),13
20034,2003Q4,Possession of drugs for sale or supply (1021),499
20034,2003Q4,Possession of drugs for personal use (1022),1709
20034,2003Q4,Other drug offences (103),85
20034,2003Q4,Weapons and explosives offences (11),467
