TLIST(Q1),Quarter,Type of Offence,VALUE
20231,2023Q1,Vehicle tax/registration offences (142),2201
20231,2023Q1,Roadworthiness/regulatory offences (143),173
20231,2023Q1,Obstruction under Road Traffic Acts (1432),12
20231,2023Q1,Other road offences (1433),5815
20231,2023Q1,Road transport - carriage of goods offences (1441),50
20231,2023Q1,Public service vehicle offences (1442),225
20231,2023Q1,Light rail offences (Luas) (1443),0
20231,2023Q1,"Offences against government, justice procedures and organisation of crime (15)",4618
20231,2023Q1,Offences against government and its agents (151),167
20231,2023Q1,Organisation of crime and conspiracy to commit crime (152),7
20231,2023Q1,Perverting the course of justice (153),15
20231,2023Q1,"Offences while in custody, breach of court orders (157)",4429
20231,2023Q1,Offences not elsewhere classified (16),427
20232,2023Q2,Homicide & related offences (01),23
20232,2023Q2,Murder (0111),9
20232,2023Q2,Manslaughter (0112),0
20232,2023Q2,Infanticide (0113),0
20232,2023Q2,Dangerous driving leading to death (012),14
20232,2023Q2,Sexual offences (02),897
20232,2023Q2,Rape of a male or female (0211),239
20232,2023Q2,Defilement of a boy or girl less than 17 years old (0212),21
20232,2023Q2,Sexual offence involving mentally impaired person (0213),
20232,2023Q2,Aggravated sexual assault (0214),0
20232,2023Q2,Sexual assault (not aggravated) (0215),508
20232,2023Q2,Other sexual offences (022),129
20232,2023Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",6289
20232,2023Q2,Murder-attempt (0311),3
20232,2023Q2,Threat to kill or cause serious harm  (0313 ),460
20232,2023Q2,Harassment and related offences (033),498
20232,2023Q2,"Assault causing harm, poisoning (034)",1487
20232,2023Q2,Other assault (035),3841
20232,2023Q2,Dangerous or negligent acts (04),8925
20232,2023Q2,Dangerous driving causing serious bodily harm (0411),14
20232,2023Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1679
20232,2023Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),1286
20232,2023Q2,Driving/in charge of a vehicle under the influence of drugs (0413),393
20232,2023Q2,Dangerous/careless driving and motorway offences (0414),1341
20232,2023Q2,Speeding (0415),5674
20232,2023Q2,Endangerment with potential for serious harm/death (0421),48
20232,2023Q2,"Abandoning a child, child neglect and cruelty (0422)",90
20232,2023Q2,Unseaworthy/dangerous use of boat or ship (0423),1
20232,2023Q2,False alarm/interference with aircraft or air transport facilities (0424),5
20232,2023Q2,Endangering traffic offences (0425),73
20232,2023Q2,Kidnapping and related offences (05),37
20232,2023Q2,False imprisonment (0511),31
20232,2023Q2,Abduction of person under 16 years of age (0512),1
20232,2023Q2,Human trafficking offences (0513),5
20232,2023Q2,"Robbery, extortion and hijacking offences (06)",614
20232,2023Q2,Robbery of an establishment or institution (0611),111
20232,2023Q2,Robbery of cash or goods in transit (0612),1
20232,2023Q2,Robbery from the person (0613),250
20232,2023Q2,Blackmail or extortion (0621),231
20232,2023Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",21
20232,2023Q2,Burglary and related offences (07),2227
20232,2023Q2,Aggravated burglary (0711),69
20232,2023Q2,Burglary (not aggravated) (0712),2084
20232,2023Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",74
20232,2023Q2,Theft and related offences (08),18767
20232,2023Q2,Theft/taking of vehicle and related offences (081),2053
20232,2023Q2,Theft from person (0821),795
20232,2023Q2,Theft from shop (0822),7999
20232,2023Q2,"Other thefts, handling stolen property (084)",7920
20232,2023Q2,"Fraud, deception and related offences (09)",2757
20232,2023Q2,Controlled drug offences (10),4606
20232,2023Q2,Importation of drugs (1011),11
20232,2023Q2,Cultivation or manufacture of drugs (1012),14
20232,2023Q2,Possession of drugs for sale or supply (1021),1308
20232,2023Q2,Possession of drugs for personal use (1022),3116
20232,2023Q2,Other drug offences (103),157
20232,2023Q2,Weapons and explosives offences (11),680
20232,2023Q2,"Explosives, chemical weapons offences (111)",11
20232,2023Q2,Discharging a firearm (1121),26
20232,2023Q2,Possession of a firearm (1122),57
20232,2023Q2,Offensive weapons offences (n.e.c.) (113),578
20232,2023Q2,Fireworks offences (114),8
20232,2023Q2,Damage to property and to the environment  offences (12),5760
20232,2023Q2,Arson (1211),413
20232,2023Q2,Criminal damage (not arson) (1212),5306
20232,2023Q2,Litter offences (1221),41
20232,2023Q2,Public order and other social code offences (13),7518
20232,2023Q2,Disorderly conduct (131),6472
20232,2023Q2,Trespass offences (132),644
20232,2023Q2,Liquor licensing offences (133),43
20232,2023Q2,Prostitution offences (134),21
20232,2023Q2,"Regulated betting/money, collection/trading offences (135)",20
20232,2023Q2,Social code offences (n.e.c.) (136),318
20232,2023Q2,Road and traffic offences (14),10671
20232,2023Q2,"Driving licence-failure to have, produce, etc. (1411)",842
20232,2023Q2,"Insurance-failure to have, produce, display, etc. (1412)",1683
20232,2023Q2,Vehicle tax/registration offences (142),1906
20232,2023Q2,Roadworthiness/regulatory offences (143),180
20232,2023Q2,Obstruction under Road Traffic Acts (1432),13
20232,2023Q2,Other road offences (1433),5795
20232,2023Q2,Road transport - carriage of goods offences (1441),43
20232,2023Q2,Public service vehicle offences (1442),207
20232,2023Q2,Light rail offences (Luas) (1443),2
20232,2023Q2,"Offences against government, justice procedures and organisation of crime (15)",3762
20232,2023Q2,Offences against government and its agents (151),104
20232,2023Q2,Organisation of crime and conspiracy to commit crime (152),5
20232,2023Q2,Perverting the course of justice (153),15
20232,2023Q2,"Offences while in custody, breach of court orders (157)",3638
20232,2023Q2,Offences not elsewhere classified (16),429
20233,2023Q3,Homicide & related offences (01),30
20233,2023Q3,Murder (0111),5
20233,2023Q3,Manslaughter (0112),2
20233,2023Q3,Infanticide (0113),0
20233,2023Q3,Dangerous driving leading to death (012),23
20233,2023Q3,Sexual offences (02),839
20233,2023Q3,Rape of a male or female (0211),244
20233,2023Q3,Defilement of a boy or girl less than 17 years old (0212),16
20233,2023Q3,Sexual offence involving mentally impaired person (0213),
20233,2023Q3,Aggravated sexual assault (0214),2
20233,2023Q3,Sexual assault (not aggravated) (0215),469
20233,2023Q3,Other sexual offences (022),108
20233,2023Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",6132
20233,2023Q3,Murder-attempt (0311),2
20233,2023Q3,Threat to kill or cause serious harm  (0313 ),436
20233,2023Q3,Harassment and related offences (033),510
20233,2023Q3,"Assault causing harm, poisoning (034)",1517
20233,2023Q3,Other assault (035),3667
20233,2023Q3,Dangerous or negligent acts (04),9164
20233,2023Q3,Dangerous driving causing serious bodily harm (0411),16
20233,2023Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1596
20233,2023Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),1181
20233,2023Q3,Driving/in charge of a vehicle under the influence of drugs (0413),415
20233,2023Q3,Dangerous/careless driving and motorway offences (0414),1230
20233,2023Q3,Speeding (0415),6096
20233,2023Q3,Endangerment with potential for serious harm/death (0421),70
20233,2023Q3,"Abandoning a child, child neglect and cruelty (0422)",97
20233,2023Q3,Unseaworthy/dangerous use of boat or ship (0423),1
20233,2023Q3,False alarm/interference with aircraft or air transport facilities (0424),6
20233,2023Q3,Endangering traffic offences (0425),52
20233,2023Q3,Kidnapping and related offences (05),41
20233,2023Q3,False imprisonment (0511),27
20233,2023Q3,Abduction of person under 16 years of age (0512),9
20233,2023Q3,Human trafficking offences (0513),5
20233,2023Q3,"Robbery, extortion and hijacking offences (06)",679
20233,2023Q3,Robbery of an establishment or institution (0611),101
20233,2023Q3,Robbery of cash or goods in transit (0612),0
20233,2023Q3,Robbery from the person (0613),299
20233,2023Q3,Blackmail or extortion (0621),242
20233,2023Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",37
20233,2023Q3,Burglary and related offences (07),2282
20233,2023Q3,Aggravated burglary (0711),51
20233,2023Q3,Burglary (not aggravated) (0712),2153
20233,2023Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",78
20233,2023Q3,Theft and related offences (08),19106
20233,2023Q3,Theft/taking of vehicle and related offences (081),1838
20233,2023Q3,Theft from person (0821),1017
20233,2023Q3,Theft from shop (0822),8195
20233,2023Q3,"Other thefts, handling stolen property (084)",8056
20233,2023Q3,"Fraud, deception and related offences (09)",
20233,2023Q3,Controlled drug offences (10),4784
20233,2023Q3,Importation of drugs (1011),16
20233,2023Q3,Cultivation or manufacture of drugs (1012),26
20233,2023Q3,Possession of drugs for sale or supply (1021),1344
20233,2023Q3,Possession of drugs for personal use (1022),3250
20233,2023Q3,Other drug offences (103),148
20233,2023Q3,Weapons and explosives offences (11),704
20233,2023Q3,"Explosives, chemical weapons offences (111)",24
20233,2023Q3,Discharging a firearm (1121),19
20233,2023Q3,Possession of a firearm (1122),53
20233,2023Q3,Offensive weapons offences (n.e.c.) (113),582
20233,2023Q3,Fireworks offences (114),26
20233,2023Q3,Damage to property and to the environment  offences (12),5497
20233,2023Q3,Arson (1211),367
20233,2023Q3,Criminal damage (not arson) (1212),5090
20233,2023Q3,Litter offences (1221),40
20233,2023Q3,Public order and other social code offences (13),7336
20233,2023Q3,Disorderly conduct (131),6383
20233,2023Q3,Trespass offences (132),642
20233,2023Q3,Liquor licensing offences (133),51
20233,2023Q3,Prostitution offences (134),12
20233,2023Q3,"Regulated betting/money, collection/trading offences (135)",15
20233,2023Q3,Social code offences (n.e.c.) (136),233
20233,2023Q3,Road and traffic offences (14),9910
20233,2023Q3,"Driving licence-failure to have, produce, etc. (1411)",795
20233,2023Q3,"Insurance-failure to have, produce, display, etc. (1412)",1541
20233,2023Q3,Vehicle tax/registration offences (142),1786
20233,2023Q3,Roadworthiness/regulatory offences (143),177
20233,2023Q3,Obstruction under Road Traffic Acts (1432),21
20233,2023Q3,Other road offences (1433),5378
20233,2023Q3,Road transport - carriage of goods offences (1441),34
20233,2023Q3,Public service vehicle offences (1442),178
20233,2023Q3,Light rail offences (Luas) (1443),0
20233,2023Q3,"Offences against government, justice procedures and organisation of crime (15)",3465
20233,2023Q3,Offences against government and its agents (151),116
20233,2023Q3,Organisation of crime and conspiracy to commit crime (152),6
20233,2023Q3,Perverting the course of justice (153),11
20233,2023Q3,"Offences while in custody, breach of court orders (157)",3332
20233,2023Q3,Offences not elsewhere classified (16),468
20234,2023Q4,Homicide & related offences (01),26
20234,2023Q4,Murder (0111),12
20234,2023Q4,Manslaughter (0112),0
20234,2023Q4,Infanticide (0113),0
20234,2023Q4,Dangerous driving leading to death (012),14
20234,2023Q4,Sexual offences (02),810
20234,2023Q4,Rape of a male or female (0211),218
20234,2023Q4,Defilement of a boy or girl less than 17 years old (0212),13
20234,2023Q4,Sexual offence involving mentally impaired person (0213),
20234,2023Q4,Aggravated sexual assault (0214),1
20234,2023Q4,Sexual assault (not aggravated) (0215),463
20234,2023Q4,Other sexual offences (022),115
20234,2023Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",5915
20234,2023Q4,Murder-attempt (0311),9
20234,2023Q4,Threat to kill or cause serious harm  (0313 ),411
20234,2023Q4,Harassment and related offences (033),559
20234,2023Q4,"Assault causing harm, poisoning (034)",1457
20234,2023Q4,Other assault (035),3479
20234,2023Q4,Dangerous or negligent acts (04),8150
20234,2023Q4,Dangerous driving causing serious bodily harm (0411),11
20234,2023Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1785
20234,2023Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),1304
20234,2023Q4,Driving/in charge of a vehicle under the influence of drugs (0413),481
20234,2023Q4,Dangerous/careless driving and motorway offences (0414),1149
20234,2023Q4,Speeding (0415),5004
20234,2023Q4,Endangerment with potential for serious harm/death (0421),65
20234,2023Q4,"Abandoning a child, child neglect and cruelty (0422)",73
20234,2023Q4,Unseaworthy/dangerous use of boat or ship (0423),0
20234,2023Q4,False alarm/interference with aircraft or air transport facilities (0424),8
20234,2023Q4,Endangering traffic offences (0425),55
20234,2023Q4,Kidnapping and related offences (05),45
20234,2023Q4,False imprisonment (0511),35
20234,2023Q4,Abduction of person under 16 years of age (0512),3
20234,2023Q4,Human trafficking offences (0513),7
20234,2023Q4,"Robbery, extortion and hijacking offences (06)",683
20234,2023Q4,Robbery of an establishment or institution (0611),140
20234,2023Q4,Robbery of cash or goods in transit (0612),2
20234,2023Q4,Robbery from the person (0613),315
20234,2023Q4,Blackmail or extortion (0621),191
20234,2023Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",35
20234,2023Q4,Burglary and related offences (07),2679
20234,2023Q4,Aggravated burglary (0711),57
20234,2023Q4,Burglary (not aggravated) (0712),2548
20234,2023Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",74
20234,2023Q4,Theft and related offences (08),18528
20234,2023Q4,Theft/taking of vehicle and related offences (081),1875
20234,2023Q4,Theft from person (0821),1085
20234,2023Q4,Theft from shop (0822),7705
20234,2023Q4,"Other thefts, handling stolen property (084)",7863
20234,2023Q4,"Fraud, deception and related offences (09)",
20234,2023Q4,Controlled drug offences (10),3611
20234,2023Q4,Importation of drugs (1011),18
20234,2023Q4,Cultivation or manufacture of drugs (1012),23
20234,2023Q4,Possession of drugs for sale or supply (1021),1054
20234,2023Q4,Possession of drugs for personal use (1022),2398
20234,2023Q4,Other drug offences (103),118
20234,2023Q4,Weapons and explosives offences (11),788
20234,2023Q4,"Explosives, chemical weapons offences (111)",21
20234,2023Q4,Discharging a firearm (1121),21
20234,2023Q4,Possession of a firearm (1122),39
20234,2023Q4,Offensive weapons offences (n.e.c.) (113),557
20234,2023Q4,Fireworks offences (114),150
20234,2023Q4,Damage to property and to the environment  offences (12),5577
20234,2023Q4,Arson (1211),437
20234,2023Q4,Criminal damage (not arson) (1212),5115
20234,2023Q4,Litter offences (1221),25
20234,2023Q4,Public order and other social code offences (13),7156
20234,2023Q4,Disorderly conduct (131),6289
20234,2023Q4,Trespass offences (132),610
20234,2023Q4,Liquor licensing offences (133),39
20234,2023Q4,Prostitution offences (134),3
20234,2023Q4,"Regulated betting/money, collection/trading offences (135)",10
20234,2023Q4,Social code offences (n.e.c.) (136),205
20234,2023Q4,Road and traffic offences (14),10201
20234,2023Q4,"Driving licence-failure to have, produce, etc. (1411)",766
20234,2023Q4,"Insurance-failure to have, produce, display, etc. (1412)",1710
20234,2023Q4,Vehicle tax/registration offences (142),1812
20234,2023Q4,Roadworthiness/regulatory offences (143),185
20234,2023Q4,Obstruction under Road Traffic Acts (1432),20
20234,2023Q4,Other road offences (1433),5466
20234,2023Q4,Road transport - carriage of goods offences (1441),45
20234,2023Q4,Public service vehicle offences (1442),194
20234,2023Q4,Light rail offences (Luas) (1443),3
20234,2023Q4,"Offences against government, justice procedures and organisation of crime (15)",3933
20234,2023Q4,Offences against government and its agents (151),60
20234,2023Q4,Organisation of crime and conspiracy to commit crime (152),5
20234,2023Q4,Perverting the course of justice (153),7
20234,2023Q4,"Offences while in custody, breach of court orders (157)",3861
20234,2023Q4,Offences not elsewhere classified (16),427
20241,2024Q1,Homicide & related offences (01),24
20241,2024Q1,Murder (0111),8
20241,2024Q1,Manslaughter (0112),1
20241,2024Q1,Infanticide (0113),0
20241,2024Q1,Dangerous driving leading to death (012),15
20241,2024Q1,Sexual offences (02),806
20241,2024Q1,Rape of a male or female (0211),255
20241,2024Q1,Defilement of a boy or girl less than 17 years old (0212),15
20241,2024Q1,Sexual offence involving mentally impaired person (0213),
20241,2024Q1,Aggravated sexual assault (0214),1
20241,2024Q1,Sexual assault (not aggravated) (0215),436
20241,2024Q1,Other sexual offences (022),99
20241,2024Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",5625
20241,2024Q1,Murder-attempt (0311),0
20241,2024Q1,Threat to kill or cause serious harm  (0313 ),478
20241,2024Q1,Harassment and related offences (033),529
20241,2024Q1,"Assault causing harm, poisoning (034)",1391
20241,2024Q1,Other assault (035),3227
20241,2024Q1,Dangerous or negligent acts (04),7208
20241,2024Q1,Dangerous driving causing serious bodily harm (0411),17
20241,2024Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1622
20241,2024Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),1157
20241,2024Q1,Driving/in charge of a vehicle under the influence of drugs (0413),465
20241,2024Q1,Dangerous/careless driving and motorway offences (0414),1213
20241,2024Q1,Speeding (0415),4164
20241,2024Q1,Endangerment with potential for serious harm/death (0421),66
20241,2024Q1,"Abandoning a child, child neglect and cruelty (0422)",78
20241,2024Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20241,2024Q1,False alarm/interference with aircraft or air transport facilities (0424),3
20241,2024Q1,Endangering traffic offences (0425),45
20241,2024Q1,Kidnapping and related offences (05),46
20241,2024Q1,False imprisonment (0511),38
20241,2024Q1,Abduction of person under 16 years of age (0512),6
20241,2024Q1,Human trafficking offences (0513),2
20241,2024Q1,"Robbery, extortion and hijacking offences (06)",603
20241,2024Q1,Robbery of an establishment or institution (0611),130
20241,2024Q1,Robbery of cash or goods in transit (0612),1
20241,2024Q1,Robbery from the person (0613),279
20241,2024Q1,Blackmail or extortion (0621),160
20241,2024Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",33
20241,2024Q1,Burglary and related offences (07),2623
20241,2024Q1,Aggravated burglary (0711),73
20241,2024Q1,Burglary (not aggravated) (0712),2479
20241,2024Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",71
20241,2024Q1,Theft and related offences (08),18872
20241,2024Q1,Theft/taking of vehicle and related offences (081),2042
20241,2024Q1,Theft from person (0821),1081
20241,2024Q1,Theft from shop (0822),8091
20241,2024Q1,"Other thefts, handling stolen property (084)",7658
20241,2024Q1,"Fraud, deception and related offences (09)",
20241,2024Q1,Controlled drug offences (10),3806
20241,2024Q1,Importation of drugs (1011),21
20241,2024Q1,Cultivation or manufacture of drugs (1012),17
20241,2024Q1,Possession of drugs for sale or supply (1021),1102
20241,2024Q1,Possession of drugs for personal use (1022),2513
20241,2024Q1,Other drug offences (103),153
20241,2024Q1,Weapons and explosives offences (11),686
20241,2024Q1,"Explosives, chemical weapons offences (111)",19
20241,2024Q1,Discharging a firearm (1121),23
20241,2024Q1,Possession of a firearm (1122),56
20241,2024Q1,Offensive weapons offences (n.e.c.) (113),582
20241,2024Q1,Fireworks offences (114),6
20241,2024Q1,Damage to property and to the environment  offences (12),5476
20241,2024Q1,Arson (1211),350
20241,2024Q1,Criminal damage (not arson) (1212),5086
20241,2024Q1,Litter offences (1221),40
20241,2024Q1,Public order and other social code offences (13),7027
20241,2024Q1,Disorderly conduct (131),6129
20241,2024Q1,Trespass offences (132),637
20241,2024Q1,Liquor licensing offences (133),40
20241,2024Q1,Prostitution offences (134),17
20241,2024Q1,"Regulated betting/money, collection/trading offences (135)",9
20241,2024Q1,Social code offences (n.e.c.) (136),195
20241,2024Q1,Road and traffic offences (14),12181
20241,2024Q1,"Driving licence-failure to have, produce, etc. (1411)",731
20241,2024Q1,"Insurance-failure to have, produce, display, etc. (1412)",2058
20241,2024Q1,Vehicle tax/registration offences (142),2336
20241,2024Q1,Roadworthiness/regulatory offences (143),201
20241,2024Q1,Obstruction under Road Traffic Acts (1432),11
20241,2024Q1,Other road offences (1433),6610
20241,2024Q1,Road transport - carriage of goods offences (1441),51
20241,2024Q1,Public service vehicle offences (1442),183
20241,2024Q1,Light rail offences (Luas) (1443),0
20241,2024Q1,"Offences against government, justice procedures and organisation of crime (15)",3966
20241,2024Q1,Offences against government and its agents (151),59
20241,2024Q1,Organisation of crime and conspiracy to commit crime (152),8
20241,2024Q1,Perverting the course of justice (153),8
20241,2024Q1,"Offences while in custody, breach of court orders (157)",3891
20241,2024Q1,Offences not elsewhere classified (16),550
20242,2024Q2,Homicide & related offences (01),22
20242,2024Q2,Murder (0111),10
20242,2024Q2,Manslaughter (0112),2
20242,2024Q2,Infanticide (0113),0
20242,2024Q2,Dangerous driving leading to death (012),10
20242,2024Q2,Sexual offences (02),860
20242,2024Q2,Rape of a male or female (0211),237
20242,2024Q2,Defilement of a boy or girl less than 17 years old (0212),23
20242,2024Q2,Sexual offence involving mentally impaired person (0213),
20242,2024Q2,Aggravated sexual assault (0214),2
20242,2024Q2,Sexual assault (not aggravated) (0215),483
20242,2024Q2,Other sexual offences (022),115
20242,2024Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",6312
20242,2024Q2,Murder-attempt (0311),6
20242,2024Q2,Threat to kill or cause serious harm  (0313 ),533
20242,2024Q2,Harassment and related offences (033),519
20242,2024Q2,"Assault causing harm, poisoning (034)",1442
20242,2024Q2,Other assault (035),3812
20242,2024Q2,Dangerous or negligent acts (04),8234
20242,2024Q2,Dangerous driving causing serious bodily harm (0411),15
20242,2024Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1677
20242,2024Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),1206
20242,2024Q2,Driving/in charge of a vehicle under the influence of drugs (0413),471
20242,2024Q2,Dangerous/careless driving and motorway offences (0414),1479
20242,2024Q2,Speeding (0415),4877
20242,2024Q2,Endangerment with potential for serious harm/death (0421),65
20242,2024Q2,"Abandoning a child, child neglect and cruelty (0422)",62
20242,2024Q2,Unseaworthy/dangerous use of boat or ship (0423),1
20242,2024Q2,False alarm/interference with aircraft or air transport facilities (0424),1
20242,2024Q2,Endangering traffic offences (0425),57
20242,2024Q2,Kidnapping and related offences (05),49
20242,2024Q2,False imprisonment (0511),37
20242,2024Q2,Abduction of person under 16 years of age (0512),9
20242,2024Q2,Human trafficking offences (0513),3
20242,2024Q2,"Robbery, extortion and hijacking offences (06)",586
20242,2024Q2,Robbery of an establishment or institution (0611),91
20242,2024Q2,Robbery of cash or goods in transit (0612),1
20242,2024Q2,Robbery from the person (0613),281
20242,2024Q2,Blackmail or extortion (0621),183
20242,2024Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",30
20242,2024Q2,Burglary and related offences (07),2260
20242,2024Q2,Aggravated burglary (0711),84
20242,2024Q2,Burglary (not aggravated) (0712),2101
20242,2024Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",75
20242,2024Q2,Theft and related offences (08),19355
20242,2024Q2,Theft/taking of vehicle and related offences (081),1964
20242,2024Q2,Theft from person (0821),1001
20242,2024Q2,Theft from shop (0822),8665
20242,2024Q2,"Other thefts, handling stolen property (084)",7725
20242,2024Q2,"Fraud, deception and related offences (09)",
20242,2024Q2,Controlled drug offences (10),4164
20242,2024Q2,Importation of drugs (1011),19
20242,2024Q2,Cultivation or manufacture of drugs (1012),20
20242,2024Q2,Possession of drugs for sale or supply (1021),1214
20242,2024Q2,Possession of drugs for personal use (1022),2748
20242,2024Q2,Other drug offences (103),163
20242,2024Q2,Weapons and explosives offences (11),716
20242,2024Q2,"Explosives, chemical weapons offences (111)",16
20242,2024Q2,Discharging a firearm (1121),21
20242,2024Q2,Possession of a firearm (1122),46
20242,2024Q2,Offensive weapons offences (n.e.c.) (113),627
20242,2024Q2,Fireworks offences (114),6
20242,2024Q2,Damage to property and to the environment  offences (12),5510
20242,2024Q2,Arson (1211),408
20242,2024Q2,Criminal damage (not arson) (1212),5085
20242,2024Q2,Litter offences (1221),17
20242,2024Q2,Public order and other social code offences (13),7662
20242,2024Q2,Disorderly conduct (131),6709
20242,2024Q2,Trespass offences (132),623
20242,2024Q2,Liquor licensing offences (133),33
20242,2024Q2,Prostitution offences (134),10
20242,2024Q2,"Regulated betting/money, collection/trading offences (135)",42
20242,2024Q2,Social code offences (n.e.c.) (136),245
20242,2024Q2,Road and traffic offences (14),13010
20242,2024Q2,"Driving licence-failure to have, produce, etc. (1411)",920
20242,2024Q2,"Insurance-failure to have, produce, display, etc. (1412)",2605
20242,2024Q2,Vehicle tax/registration offences (142),2208
20242,2024Q2,Roadworthiness/regulatory offences (143),182
20242,2024Q2,Obstruction under Road Traffic Acts (1432),10
20242,2024Q2,Other road offences (1433),6889
20242,2024Q2,Road transport - carriage of goods offences (1441),26
20242,2024Q2,Public service vehicle offences (1442),170
20242,2024Q2,Light rail offences (Luas) (1443),0
20242,2024Q2,"Offences against government, justice procedures and organisation of crime (15)",4080
20242,2024Q2,Offences against government and its agents (151),46
20242,2024Q2,Organisation of crime and conspiracy to commit crime (152),8
20242,2024Q2,Perverting the course of justice (153),9
20242,2024Q2,"Offences while in custody, breach of court orders (157)",4017
20242,2024Q2,Offences not elsewhere classified (16),533
20243,2024Q3,Homicide & related offences (01),17
20243,2024Q3,Murder (0111),4
20243,2024Q3,Manslaughter (0112),1
20243,2024Q3,Infanticide (0113),0
20243,2024Q3,Dangerous driving leading to death (012),12
20243,2024Q3,Sexual offences (02),1158
20243,2024Q3,Rape of a male or female (0211),258
20243,2024Q3,Defilement of a boy or girl less than 17 years old (0212),19
20243,2024Q3,Sexual offence involving mentally impaired person (0213),
20243,2024Q3,Aggravated sexual assault (0214),1
20243,2024Q3,Sexual assault (not aggravated) (0215),770
20243,2024Q3,Other sexual offences (022),110
20243,2024Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",6528
20243,2024Q3,Murder-attempt (0311),4
20243,2024Q3,Threat to kill or cause serious harm  (0313 ),580
20243,2024Q3,Harassment and related offences (033),537
20243,2024Q3,"Assault causing harm, poisoning (034)",1624
20243,2024Q3,Other assault (035),3783
20243,2024Q3,Dangerous or negligent acts (04),8703
20243,2024Q3,Dangerous driving causing serious bodily harm (0411),16
20243,2024Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1595
20243,2024Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),1186
20243,2024Q3,Driving/in charge of a vehicle under the influence of drugs (0413),409
20243,2024Q3,Dangerous/careless driving and motorway offences (0414),1503
20243,2024Q3,Speeding (0415),5419
20243,2024Q3,Endangerment with potential for serious harm/death (0421),75
20243,2024Q3,"Abandoning a child, child neglect and cruelty (0422)",53
20243,2024Q3,Unseaworthy/dangerous use of boat or ship (0423),1
20243,2024Q3,False alarm/interference with aircraft or air transport facilities (0424),2
20243,2024Q3,Endangering traffic offences (0425),39
20243,2024Q3,Kidnapping and related offences (05),42
20243,2024Q3,False imprisonment (0511),26
20243,2024Q3,Abduction of person under 16 years of age (0512),11
20243,2024Q3,Human trafficking offences (0513),5
20243,2024Q3,"Robbery, extortion and hijacking offences (06)",593
20243,2024Q3,Robbery of an establishment or institution (0611),101
20243,2024Q3,Robbery of cash or goods in transit (0612),0
20243,2024Q3,Robbery from the person (0613),279
20243,2024Q3,Blackmail or extortion (0621),165
20243,2024Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",48
20243,2024Q3,Burglary and related offences (07),2443
20243,2024Q3,Aggravated burglary (0711),75
20243,2024Q3,Burglary (not aggravated) (0712),2289
20243,2024Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",79
20243,2024Q3,Theft and related offences (08),19937
20243,2024Q3,Theft/taking of vehicle and related offences (081),1947
20243,2024Q3,Theft from person (0821),882
20243,2024Q3,Theft from shop (0822),8914
20243,2024Q3,"Other thefts, handling stolen property (084)",8194
20243,2024Q3,"Fraud, deception and related offences (09)",
20243,2024Q3,Controlled drug offences (10),4662
20243,2024Q3,Importation of drugs (1011),26
20243,2024Q3,Cultivation or manufacture of drugs (1012),33
20243,2024Q3,Possession of drugs for sale or supply (1021),1208
20243,2024Q3,Possession of drugs for personal use (1022),3182
20243,2024Q3,Other drug offences (103),213
20243,2024Q3,Weapons and explosives offences (11),796
20243,2024Q3,"Explosives, chemical weapons offences (111)",35
20243,2024Q3,Discharging a firearm (1121),39
20243,2024Q3,Possession of a firearm (1122),52
20243,2024Q3,Offensive weapons offences (n.e.c.) (113),630
20243,2024Q3,Fireworks offences (114),40
20243,2024Q3,Damage to property and to the environment  offences (12),5672
